County,Year,PerCapIncome
Pocahontas,2013,31980.0
Pocahontas,2014,33778.0
Preston,2006,25752.0
Preston,2007,25642.0
Preston,2008,26011.0
Preston,2009,26745.0
Preston,2010,28950.0
Preston,2011,30572.0
Preston,2012,31422.0
Preston,2013,31510.0
Preston,2014,32216.0
Putnam,2006,32240.0
Putnam,2007,33612.0
Putnam,2008,35868.0
Putnam,2009,36778.0
Putnam,2010,37317.0
Putnam,2011,39708.0
Putnam,2012,40450.0
Putnam,2013,40031.0
Putnam,2014,41282.0
Raleigh,2006,28728.0
Raleigh,2007,27834.0
Raleigh,2008,29705.0
Raleigh,2009,30852.0
Raleigh,2010,32503.0
Raleigh,2011,35834.0
Raleigh,2012,36025.0
Raleigh,2013,35339.0
Raleigh,2014,36182.0
Randolph,2006,26424.0
Randolph,2007,27086.0
Randolph,2008,28106.0
Randolph,2009,28564.0
Randolph,2010,29015.0
Randolph,2011,30225.0
Randolph,2012,31688.0
Randolph,2013,31634.0
Randolph,2014,32632.0
Ritchie,2006,23557.0
Ritchie,2007,23661.0
Ritchie,2008,24793.0
Ritchie,2009,24874.0
Ritchie,2010,25620.0
Ritchie,2011,27574.0
Ritchie,2012,29067.0
Ritchie,2013,29973.0
Ritchie,2014,32652.0
Roane,2006,22783.0
Roane,2007,24012.0
Roane,2008,26505.0
Roane,2009,26406.0
Roane,2010,27391.0
Roane,2011,28737.0
Roane,2012,30292.0
Roane,2013,29948.0
Roane,2014,30460.0
Summers,2006,20893.0
Summers,2007,21903.0
Summers,2008,23922.0
Summers,2009,24093.0
Summers,2010,24866.0
Summers,2011,26467.0
Summers,2012,27703.0
Summers,2013,28031.0
Summers,2014,29158.0
Taylor,2006,24227.0
Taylor,2007,24911.0
Taylor,2008,26747.0
Taylor,2009,27879.0
Taylor,2010,28792.0
Taylor,2011,30755.0
Taylor,2012,31906.0
Taylor,2013,33596.0
Taylor,2014,33922.0
Tucker,2006,24223.0
Tucker,2007,25001.0
Tucker,2008,26351.0
Tucker,2009,27823.0
Tucker,2010,28789.0
Tucker,2011,31587.0
Tucker,2012,33617.0
Tucker,2013,34664.0
Tucker,2014,36366.0
Tyler,2006,21718.0
Tyler,2007,23205.0
Tyler,2008,25461.0
Tyler,2009,25672.0
Tyler,2010,26452.0
Tyler,2011,28858.0
Tyler,2012,30921.0
Tyler,2013,31041.0
Tyler,2014,31621.0
Upshur,2006,24373.0
Upshur,2007,25360.0
Upshur,2008,27010.0
Upshur,2009,27173.0
Upshur,2010,28566.0
Upshur,2011,30452.0
Upshur,2012,31248.0
Upshur,2013,30590.0
Upshur,2014,31378.0
Wayne,2006,22569.0
Wayne,2007,23671.0
Wayne,2008,24528.0
Wayne,2009,25697.0
Wayne,2010,26239.0
Wayne,2011,27230.0
Wayne,2012,27820.0
Wayne,2013,27704.0
Wayne,2014,29049.0
Webster,2006,20687.0
Webster,2007,21983.0
Webster,2008,23995.0
Webster,2009,24406.0
Webster,2010,24376.0
Webster,2011,25393.0
Webster,2012,25764.0
Webster,2013,25496.0
Webster,2014,26428.0
Wetzel,2006,23377.0
Wetzel,2007,24502.0
Wetzel,2008,25836.0
Wetzel,2009,25836.0
Wetzel,2010,26360.0
Wetzel,2011,27888.0
Wetzel,2012,29411.0
Wetzel,2013,29520.0
Wetzel,2014,30852.0
Wirt,2006,20348.0
Wirt,2007,21318.0
Wirt,2008,23278.0
Wirt,2009,23759.0
Wirt,2010,24463.0
Wirt,2011,26787.0
Wirt,2012,26689.0
Wirt,2013,27950.0
Wirt,2014,29027.0
Wood,2006,29670.0
Wood,2007,30965.0
Wood,2008,32203.0
Wood,2009,32148.0
Wood,2010,32896.0
Wood,2011,34603.0
Wood,2012,36217.0
Wood,2013,36125.0
Wood,2014,38215.0
Wyoming,2006,22547.0
Wyoming,2007,23573.0
Wyoming,2008,26140.0
Wyoming,2009,25751.0
Wyoming,2010,26662.0
Wyoming,2011,28321.0
Wyoming,2012,28874.0
Wyoming,2013,27960.0
Wyoming,2014,28469.0
