County,Year,Suicides,PopCDC
Mingo,2013,4.0,25900.0
Mingo,2014,8.0,25716.0
Monongalia,2006,5.0,89656.0
Monongalia,2007,7.0,90764.0
Monongalia,2008,4.0,92200.0
Monongalia,2009,12.0,94165.0
Monongalia,2010,9.0,96189.0
Monongalia,2011,10.0,98528.0
Monongalia,2012,17.0,100332.0
Monongalia,2013,10.0,102274.0
Monongalia,2014,19.0,103463.0
Monroe,2006,2.0,13382.0
Monroe,2007,4.0,13452.0
Monroe,2008,1.0,13607.0
Monroe,2009,2.0,13543.0
Monroe,2010,2.0,13502.0
Monroe,2011,1.0,13534.0
Monroe,2012,1.0,13463.0
Monroe,2013,1.0,13483.0
Monroe,2014,1.0,13582.0
Morgan,2006,5.0,17038.0
Morgan,2007,4.0,17410.0
Morgan,2008,2.0,17520.0
Morgan,2009,3.0,17580.0
Morgan,2010,0.0,17541.0
Morgan,2011,3.0,17535.0
Morgan,2012,5.0,17471.0
Morgan,2013,3.0,17498.0
Morgan,2014,1.0,17453.0
Nicholas,2006,6.0,26205.0
Nicholas,2007,8.0,26130.0
Nicholas,2008,5.0,26138.0
Nicholas,2009,2.0,26253.0
Nicholas,2010,4.0,26233.0
Nicholas,2011,5.0,26268.0
Nicholas,2012,6.0,26229.0
Nicholas,2013,4.0,25965.0
Nicholas,2014,10.0,25827.0
Ohio,2006,6.0,44925.0
Ohio,2007,8.0,44714.0
Ohio,2008,4.0,44469.0
Ohio,2009,6.0,44355.0
Ohio,2010,4.0,44443.0
Ohio,2011,5.0,44246.0
Ohio,2012,10.0,44075.0
Ohio,2013,7.0,43727.0
Ohio,2014,7.0,43328.0
Pendleton,2006,2.0,7922.0
Pendleton,2007,3.0,7792.0
Pendleton,2008,0.0,7761.0
Pendleton,2009,1.0,7701.0
Pendleton,2010,4.0,7695.0
Pendleton,2011,1.0,7673.0
Pendleton,2012,1.0,7566.0
Pendleton,2013,0.0,7471.0
Pendleton,2014,0.0,7371.0
Pleasants,2006,0.0,7670.0
Pleasants,2007,1.0,7698.0
Pleasants,2008,0.0,7702.0
Pleasants,2009,2.0,7672.0
Pleasants,2010,2.0,7605.0
Pleasants,2011,0.0,7611.0
Pleasants,2012,0.0,7595.0
Pleasants,2013,1.0,7577.0
Pleasants,2014,5.0,7634.0
Pocahontas,2006,3.0,8938.0
Pocahontas,2007,2.0,8851.0
Pocahontas,2008,3.0,8807.0
Pocahontas,2009,0.0,8746.0
Pocahontas,2010,2.0,8719.0
Pocahontas,2011,1.0,8786.0
Pocahontas,2012,0.0,8692.0
Pocahontas,2013,1.0,8669.0
Pocahontas,2014,1.0,8662.0
Preston,2006,4.0,32238.0
Preston,2007,10.0,32743.0
Preston,2008,2.0,33067.0
Preston,2009,8.0,33333.0
Preston,2010,7.0,33520.0
Preston,2011,4.0,33723.0
Preston,2012,5.0,33832.0
Preston,2013,4.0,33859.0
Preston,2014,10.0,33788.0
Putnam,2006,3.0,54207.0
Putnam,2007,10.0,54669.0
Putnam,2008,12.0,55051.0
Putnam,2009,6.0,55178.0
Putnam,2010,9.0,55486.0
Putnam,2011,6.0,56008.0
Putnam,2012,7.0,56435.0
Putnam,2013,7.0,56650.0
Putnam,2014,5.0,56770.0
Raleigh,2006,10.0,78178.0
Raleigh,2007,14.0,78323.0
Raleigh,2008,10.0,78379.0
Raleigh,2009,15.0,78782.0
Raleigh,2010,11.0,78859.0
Raleigh,2011,17.0,79127.0
Raleigh,2012,11.0,79021.0
Raleigh,2013,18.0,78833.0
Raleigh,2014,8.0,78241.0
Randolph,2006,4.0,29049.0
Randolph,2007,1.0,29113.0
Randolph,2008,3.0,29236.0
Randolph,2009,5.0,29381.0
Randolph,2010,4.0,29405.0
Randolph,2011,7.0,29465.0
Randolph,2012,8.0,29384.0
Randolph,2013,8.0,29415.0
Randolph,2014,5.0,29429.0
Ritchie,2006,2.0,10588.0
Ritchie,2007,3.0,10558.0
Ritchie,2008,3.0,10516.0
Ritchie,2009,1.0,10478.0
Ritchie,2010,2.0,10449.0
Ritchie,2011,3.0,10295.0
Ritchie,2012,0.0,10236.0
Ritchie,2013,0.0,10073.0
Ritchie,2014,2.0,10011.0
Roane,2006,3.0,15442.0
Roane,2007,3.0,15215.0
Roane,2008,2.0,15048.0
Roane,2009,3.0,14966.0
Roane,2010,1.0,14926.0
Roane,2011,7.0,14858.0
Roane,2012,3.0,14684.0
Roane,2013,3.0,14656.0
Roane,2014,4.0,14664.0
Summers,2006,3.0,13879.0
Summers,2007,3.0,13842.0
Summers,2008,5.0,13712.0
Summers,2009,2.0,13882.0
Summers,2010,2.0,13927.0
Summers,2011,6.0,13867.0
Summers,2012,2.0,13737.0
Summers,2013,2.0,13563.0
Summers,2014,2.0,13417.0
Taylor,2006,1.0,16498.0
Taylor,2007,1.0,16640.0
Taylor,2008,0.0,16792.0
Taylor,2009,3.0,16838.0
Taylor,2010,5.0,16895.0
Taylor,2011,4.0,16916.0
Taylor,2012,4.0,16991.0
Taylor,2013,1.0,16973.0
Taylor,2014,1.0,17069.0
Tucker,2006,4.0,7111.0
Tucker,2007,0.0,7117.0
Tucker,2008,0.0,7160.0
Tucker,2009,3.0,7172.0
Tucker,2010,1.0,7141.0
Tucker,2011,0.0,7021.0
Tucker,2012,1.0,6995.0
Tucker,2013,2.0,6968.0
Tucker,2014,1.0,6927.0
Tyler,2006,2.0,9484.0
Tyler,2007,1.0,9423.0
Tyler,2008,4.0,9363.0
Tyler,2009,2.0,9249.0
Tyler,2010,2.0,9208.0
Tyler,2011,2.0,9121.0
Tyler,2012,2.0,9037.0
Tyler,2013,0.0,8995.0
Tyler,2014,3.0,9098.0
Upshur,2006,3.0,23754.0
Upshur,2007,3.0,23851.0
Upshur,2008,5.0,23929.0
Upshur,2009,4.0,24124.0
Upshur,2010,10.0,24254.0
Upshur,2011,5.0,24322.0
Upshur,2012,3.0,24477.0
Upshur,2013,8.0,24665.0
Upshur,2014,4.0,24731.0
Wayne,2006,2.0,42717.0
Wayne,2007,4.0,42727.0
Wayne,2008,7.0,42767.0
Wayne,2009,6.0,42637.0
Wayne,2010,5.0,42481.0
Wayne,2011,5.0,42126.0
Wayne,2012,9.0,41649.0
Wayne,2013,10.0,41437.0
Wayne,2014,5.0,41122.0
Webster,2006,1.0,9391.0
Webster,2007,1.0,9260.0
Webster,2008,3.0,9260.0
Webster,2009,0.0,9167.0
Webster,2010,1.0,9154.0
Webster,2011,0.0,9143.0
Webster,2012,0.0,9043.0
Webster,2013,0.0,8893.0
Webster,2014,1.0,8834.0
Wetzel,2006,2.0,16917.0
Wetzel,2007,3.0,16764.0
Wetzel,2008,1.0,16645.0
Wetzel,2009,1.0,16588.0
Wetzel,2010,1.0,16583.0
Wetzel,2011,5.0,16351.0
Wetzel,2012,3.0,16422.0
Wetzel,2013,4.0,16204.0
Wetzel,2014,3.0,15988.0
Wirt,2006,0.0,5791.0
