County,Year,NumTrans,TotMME,TotDU,Suicides,PopCDC,PerCapIncome,FIPS
Grant,2014,888.0,3037304.1600000025,379970.0,3.0,11687.0,33944.0,54023.0
Greenbrier,2006,5978.0,18376339.54131274,2280570.0,7.0,35196.0,27512.0,54025.0
Greenbrier,2007,6936.0,20941193.324712753,2646820.0,6.0,35354.0,27565.0,54025.0
Greenbrier,2008,7320.0,24569954.81052509,2899400.0,5.0,35457.0,29060.0,54025.0
Greenbrier,2009,7948.0,32613642.556724954,3404052.0,6.0,35351.0,28804.0,54025.0
Greenbrier,2010,8468.0,36714279.85158746,3613330.0,10.0,35480.0,30201.0,54025.0
Greenbrier,2011,8615.0,41384543.3186248,3812370.0,11.0,35800.0,32945.0,54025.0
Greenbrier,2012,9036.0,47279324.62567447,3863880.0,7.0,35820.0,31930.0,54025.0
Greenbrier,2013,8217.0,41130867.69386213,3235180.0,8.0,35644.0,32742.0,54025.0
Greenbrier,2014,6857.0,35427195.37522499,2865140.0,9.0,35450.0,34231.0,54025.0
Hampshire,2006,1395.0,3972113.8049999964,523900.0,2.0,23016.0,24942.0,54027.0
Hampshire,2007,1300.0,4504083.975224999,597260.0,7.0,23492.0,25154.0,54027.0
Hampshire,2008,1482.0,5233822.3577249935,670100.0,7.0,23664.0,26262.0,54027.0
Hampshire,2009,1874.0,6618021.405899996,769200.0,5.0,23820.0,26013.0,54027.0
Hampshire,2010,2050.0,8317079.175449989,837040.0,4.0,23964.0,27264.0,54027.0
Hampshire,2011,2289.0,9596351.41589999,939570.0,3.0,23812.0,28459.0,54027.0
Hampshire,2012,2187.0,11176045.021124983,939790.0,4.0,23709.0,28910.0,54027.0
Hampshire,2013,1987.0,9975203.003399992,835470.0,3.0,23445.0,29332.0,54027.0
Hampshire,2014,1335.0,7906226.093175002,666940.0,5.0,23483.0,30057.0,54027.0
Hancock,2006,5801.0,24754105.10617515,2256900.0,4.0,31266.0,28483.0,54029.0
Hancock,2007,6720.0,26112715.86483763,2508310.0,7.0,30887.0,30182.0,54029.0
Hancock,2008,6831.0,27991547.20031259,2517980.0,2.0,30802.0,31912.0,54029.0
Hancock,2009,7287.0,35033630.32544985,2911280.0,2.0,30748.0,31366.0,54029.0
Hancock,2010,7958.0,36698642.13453739,3135470.0,1.0,30676.0,32705.0,54029.0
Hancock,2011,8067.0,33702168.23703746,3169370.0,3.0,30571.0,34382.0,54029.0
Hancock,2012,8042.0,35243824.218374826,3183000.0,7.0,30305.0,35708.0,54029.0
Hancock,2013,8891.0,34801279.57199977,3091020.0,3.0,30291.0,35978.0,54029.0
Hancock,2014,8242.0,35766124.71926235,3076050.0,11.0,30112.0,36825.0,54029.0
Hardy,2006,1232.0,3223975.535999983,341600.0,2.0,13611.0,22416.0,54031.0
Hardy,2007,1633.0,4467538.505999978,562820.0,2.0,13807.0,22570.0,54031.0
Hardy,2008,1894.0,7194001.27049999,731300.0,2.0,13793.0,23529.0,54031.0
Hardy,2009,2097.0,9134052.56250002,748940.0,1.0,13885.0,24086.0,54031.0
Hardy,2010,2082.0,5399717.2124999855,529600.0,2.0,14025.0,25548.0,54031.0
Hardy,2011,2204.0,4799220.412499979,514800.0,2.0,13912.0,27266.0,54031.0
Hardy,2012,2092.0,4813065.134999978,492640.0,3.0,13866.0,27941.0,54031.0
Hardy,2013,2211.0,4675065.037499994,467060.0,3.0,13920.0,28913.0,54031.0
Hardy,2014,1713.0,4212805.117499997,434150.0,1.0,13923.0,29629.0,54031.0
Harrison,2006,9485.0,35610116.91999991,4584730.0,13.0,68141.0,34047.0,54033.0
Harrison,2007,10874.0,38637484.78817491,5078000.0,9.0,67940.0,33854.0,54033.0
Harrison,2008,11639.0,42767963.40516204,5579460.0,17.0,68441.0,36247.0,54033.0
Harrison,2009,12075.0,46567511.51317424,6043850.0,9.0,68696.0,35667.0,54033.0
Harrison,2010,12526.0,44547147.65999924,5983850.0,6.0,69099.0,37237.0,54033.0
Harrison,2011,13761.0,49000767.46136206,6492890.0,8.0,69436.0,40148.0,54033.0
Harrison,2012,13867.0,52016901.43499959,6451820.0,11.0,69141.0,40904.0,54033.0
Harrison,2013,13459.0,47174522.60249972,5854440.0,9.0,68972.0,41166.0,54033.0
Harrison,2014,10326.0,45675531.39157499,5517890.0,19.0,68761.0,43655.0,54033.0
Jackson,2006,3412.0,6359474.659987453,948190.0,4.0,28877.0,25430.0,54035.0
Jackson,2007,4205.0,7933158.110212493,1201460.0,2.0,29089.0,27020.0,54035.0
Jackson,2008,5162.0,13781402.98680023,1631820.0,2.0,29101.0,29075.0,54035.0
Jackson,2009,4774.0,15459295.734862702,1680352.5,4.0,29155.0,28839.0,54035.0
Jackson,2010,5335.0,16486652.386800256,1748770.0,2.0,29211.0,27053.0,54035.0
Jackson,2011,5680.0,18211271.070000254,1817880.0,6.0,29241.0,30379.0,54035.0
