County,Year,NumTrans,TotMME,TotDU
Kanawha,2008,28735.0,90097117.38048352,12333810.0
Kanawha,2009,29982.0,103842953.59473616,13693735.0
Kanawha,2010,31006.0,112544142.34383582,14046220.0
Kanawha,2011,31984.0,119149204.22520004,14739690.0
Kanawha,2012,34596.0,141631594.32337654,15621740.0
Kanawha,2013,37690.0,185761669.00703326,17022070.0
Kanawha,2014,29914.0,170454365.7395273,15967160.0
Lewis,2006,2506.0,6768113.443999987,912600.0
Lewis,2007,2699.0,6581297.318999983,953400.0
Lewis,2008,2980.0,7351578.148499998,1026400.0
Lewis,2009,2735.0,7483760.722500007,1005230.0
Lewis,2010,2796.0,6641154.5249999985,971850.0
Lewis,2011,2600.0,6526248.929999985,985310.0
Lewis,2012,2714.0,6398563.507499995,954620.0
Lewis,2013,3021.0,5521477.7625,849600.0
Lewis,2014,1662.0,4693744.3199999975,690840.0
Lincoln,2006,2001.0,4356641.789999989,685430.0
Lincoln,2007,2313.0,4695268.31753749,782270.0
Lincoln,2008,2700.0,7543433.044012507,1099890.0
Lincoln,2009,3390.0,12771987.367950046,1576600.0
Lincoln,2010,3462.0,12545226.067500023,1578850.0
Lincoln,2011,3356.0,13286141.610000025,1689960.0
Lincoln,2012,3540.0,15122625.506587561,1566740.0
Lincoln,2013,3403.0,18338357.08136254,1624160.0
Lincoln,2014,3157.0,20709534.592949986,1702470.0
Logan,2006,8365.0,40873963.381674506,6018200.0
Logan,2007,9132.0,46257182.955761686,6436220.0
Logan,2008,10271.0,49290395.10207407,6841750.0
Logan,2009,10042.0,49775213.84861168,6884720.0
Logan,2010,9219.0,46873115.866574496,6260230.0
Logan,2011,9573.0,48906715.30544945,6768760.0
Logan,2012,8757.0,46308136.40294967,6376920.0
Logan,2013,9285.0,48993719.9140868,5896220.0
Logan,2014,6884.0,46797993.63408726,5372480.0
Marion,2006,6081.0,15296343.24190019,2187130.0
Marion,2007,7506.0,18421748.9151752,2760940.0
Marion,2008,8803.0,22752376.191225164,3326760.0
Marion,2009,9284.0,25648765.845000155,3630070.0
Marion,2010,9131.0,23545349.293500047,3285798.0
Marion,2011,9712.0,24536617.181362662,3498790.0
Marion,2012,9395.0,25063230.48022511,3423860.0
Marion,2013,8839.0,25724223.401362617,3295320.0
Marion,2014,6362.0,22948697.337262478,2876110.0
Marshall,2006,4680.0,15653409.753000222,1876800.0
Marshall,2007,5334.0,18954765.936000247,2257730.0
Marshall,2008,5559.0,20804658.082087673,2521720.0
Marshall,2009,5359.0,24740785.70295008,2725100.0
Marshall,2010,5653.0,27826638.367499974,2814360.0
Marshall,2011,5638.0,27470633.44500003,2780840.0
Marshall,2012,5768.0,28206917.99999988,2716340.0
Marshall,2013,5743.0,27027946.5299999,2572110.0
Marshall,2014,4075.0,27107726.760000017,2482390.0
Mason,2006,3273.0,14286584.267500117,1909230.0
Mason,2007,3575.0,14880780.427500138,1991430.0
Mason,2008,3716.0,16319119.017037673,2161830.0
